Country,Level,Branch,Department,Name,State,Issues,URL,Table No,Table Rows,Link Column,Party Column,Term Start Column,Term End Column,District,Dynamic Parse,Read columns right to left,Find Date,Parse Rowspan,Rep Link,Party Link,Notes,Alt Link
United States of America,Local,Executive,Mayoral,Mayor,Los Angeles,,https://en.wikipedia.org/wiki/List_of_mayors_of_Los_Angeles,8,3,3,7,4,4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
United States of America,Local,Executive,Mayoral,Mayor,Louisville,,"https://en.wikipedia.org/wiki/List_of_mayors_of_Louisville,_Kentucky",8,3,1,5,3,4,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
United States of America,Local,Executive,Mayoral,Mayor,Milwaukee,,https://en.wikipedia.org/wiki/List_of_mayors_of_Milwaukee,1,3,3,4,5,6,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
United States of America,Local,Executive,Mayoral,Mayor,Minneapolis,,https://en.wikipedia.org/wiki/List_of_mayors_of_Minneapolis,2,3,2,7,4,5,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
United States of America,Local,Executive,Mayoral,Mayor,New Orleans,,https://en.wikipedia.org/wiki/Mayor_of_New_Orleans,8,3,2,7,3,4,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
United States of America,Local,Executive,Mayoral,Mayor,Oklahoma City,,https://en.wikipedia.org/wiki/List_of_mayors_of_Oklahoma_City,2,3,2,6,3,4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
United States of America,Local,Executive,Mayoral,Mayor,Philadelphia,,https://en.wikipedia.org/wiki/Mayor_of_Philadelphia,2,3,3,6,4,5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Colonial mayors elected by the Common Council,
United States of America,Local,Executive,Mayoral,Mayor,Philadelphia,,https://en.wikipedia.org/wiki/Mayor_of_Philadelphia,3,3,3,6,4,5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Post-independence mayors elected by the common council,
United States of America,Local,Executive,Mayoral,Mayor,Philadelphia,,https://en.wikipedia.org/wiki/Mayor_of_Philadelphia,4,3,3,6,4,5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Mayors chosen by popular election,
United States of America,Local,Executive,Mayoral,Mayor,Philadelphia,,https://en.wikipedia.org/wiki/Mayor_of_Philadelphia,5,3,3,6,4,5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Mayors elected following the Act of Consolidation,
United States of America,Local,Executive,Mayoral,Mayor,Philadelphia,,https://en.wikipedia.org/wiki/Mayor_of_Philadelphia,6,3,3,6,4,5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Mayors elected under the Home Rule Charter of 1951,
